GeneID	HBXGZ	HBXHA	HBXHB	HBXHC	HBXHG	HBXHH	HBXHN	HBXHO	HBXHP	HBXHS	HBXHT	HBXHU	HBXHW	HBXHX	HBXHY	HBXHZ	HBXNA	HBXNB	HBXNC	HBXNG	HBXNH	HBXNN	HBXNO	HBXNP	HBXNS	HBXNT	HBXNU
639297632	11.98	7.76	4.47	5.65	2.72	1.78	3.36	1.89	4.63	4.47	1.75	3.15	2.95	1.78	5.27	11.07	13.67	9.58	3.47	9.14	9.17	9.06	4.56	11.95	3.79	3.85	1.97
639297633	497.83	487.8	458.91	547.43	658.07	629.14	498.11	495.43	506.94	450.22	459.98	476.55	506.3	475.97	525.85	531.96	231.11	527.47	277.2	836.95	1087.06	423.09	472.71	428.93	591.07	685.08	784.69
639297634	18.45	19.48	15.61	39.23	31.61	33.44	27.45	29.02	30.79	19.27	17.93	21.24	26.34	24.54	30.5	13.95	6.19	15.34	3.18	16.53	21.54	10.36	7.51	7.25	16.61	12.2	13.88
639297635	34.4	40.28	37.62	59.8	58.84	50.82	39.93	44.91	44.85	36.0	43.07	37.22	39.72	36.33	39.84	11.9	4.71	15.75	2.75	16.03	18.02	6.71	8.17	8.31	16.03	14.41	12.36
639297636	39.39	40.87	42.59	46.23	49.45	51.13	38.34	46.3	44.85	38.6	37.94	38.98	45.07	45.14	39.38	6.92	4.59	10.57	4.6	9.57	15.66	7.39	5.81	6.49	13.04	9.73	8.79
639297637	72.95	63.23	73.04	61.22	53.85	57.66	74.31	55.28	55.91	58.32	47.51	55.15	58.06	58.69	69.51	7.52	5.78	10.29	2.51	4.08	6.17	6.44	6.83	7.1	10.3	7.09	6.66
639297638	0.37	0.76	1.1	0.28	0.2	1.05	0.56	0.84	1.56	1.76	1.29	0.74	2.35	2.62	2.07	3.42	4.98	1.23	0.58	1.97	2.7	6.86	2.87	7.74	1.95	4.53	1.93
639297639	25.31	19.98	29.57	27.49	29.9	28.28	34.64	40.42	32.33	35.01	33.41	34.29	26.82	25.35	27.62	24.24	13.7	23.29	5.06	8.89	9.56	14.63	13.93	18.61	24.34	17.33	14.69
639297640	101.47	100.96	108.05	69.5	60.51	65.31	77.02	59.92	73.75	77.56	70.0	73.94	79.01	76.46	78.82	26.71	20.79	30.06	20.82	27.07	23.42	32.86	28.72	30.12	44.62	28.41	27.39
639297641	110.12	110.49	114.66	92.83	60.47	83.02	142.7	115.02	116.21	170.42	170.49	174.36	102.98	130.02	149.7	48.03	109.46	51.7	121.94	106.21	110.92	143.54	126.76	132.35	394.28	104.8	128.63
639297642	156.04	159.09	165.02	193.01	226.45	210.9	190.27	208.36	185.38	207.02	222.02	224.65	198.16	179.27	192.09	109.85	57.39	114.3	50.59	83.89	94.02	103.74	117.1	102.1	327.83	108.55	149.35
639297643	161.46	151.24	172.87	16.18	9.61	14.99	12.92	14.36	12.92	17.08	22.1	17.39	13.04	18.9	20.11	26.49	47.05	29.44	69.29	41.27	18.53	79.11	80.69	99.88	13.9	16.86	12.61
639297644	50.51	48.31	53.83	52.27	38.81	35.88	37.61	47.41	47.46	44.81	64.6	40.44	46.36	34.56	40.78	79.93	92.09	75.41	94.91	75.77	109.84	130.08	143.65	154.41	69.06	100.94	92.86
639297645	382.33	322.71	330.47	283.71	118.36	164.23	217.09	207.23	182.92	249.91	217.28	259.61	191.16	170.74	159.44	19354.01	25544.83	15854.5	18956.15	15319.99	12281.15	18352.2	16911.99	16246.85	4175.27	11327.69	9913.11
