locus_tag,LB1,LB2,LB3,Glucose1,Glucose2,Glucose3,Mannose1,Mannose2,Mannose3,Mannitol1,Mannitol2,Mannitol3,Arabinose1,Arabinose2,Arabinose3,Acetate1,Acetate2,Acetate3,Succinate1,Succinate2,Succinate3,Fumarate1,Fumarate2,Fumarate3,PCA1,PCA2,PCA3
Atu1690,67.64,66.15,64.67,60.88,51.53,46.84,50.63,58.42,60.45,57.22,49.49,52.32,51.48,55.57,51.8,21.28,17.44,20.56,24.26,20.38,17.39,27.56,26.22,28.77,33.94,25.38,20.2
Atu1691,20.98,14.99,17.37,32.65,31.51,33.15,40.5,38.22,50.89,37.32,33.09,39.81,39.87,35.51,45.15,54.65,42.25,47.26,34.96,36.03,43.51,49.13,38.15,49.08,54.49,64.34,53.61
Atu1692,89.34,89.82,84.84,118.48,97.87,101.16,95.4,93.22,102.47,105.88,99.99,95.87,96.96,94.69,101.56,47.12,30.32,62.83,34.5,38.52,49.27,62.86,55.19,74.57,107.81,64.38,90.07
Atu1693,68.35,55.31,66.01,70.47,65.46,61.93,64.54,61.16,65.76,69.46,65.52,65.51,53.48,57.54,68.91,31.46,18.29,28.46,20.09,23.87,29.08,26.17,31.62,30.14,61.47,28.55,37.41
Atu1694,86.57,73.48,94.49,72.58,76.06,78.61,79.78,103.67,105.75,99.85,89.41,88.9,79.75,82.57,83.99,74.68,69.7,90.03,56.94,49.76,54.53,42.93,47.31,52.8,117.13,70.21,98.17
Atu1695,129.26,114.58,123.02,107.51,85.75,99.06,130.95,129.06,143.09,123.15,122.2,115.47,109.63,87.64,122.27,366.94,642.68,340.92,516.25,353.76,241.07,537.74,507.6,576.01,179.49,299.7,226.86
Atu1696,32.81,30.56,30.95,52.54,51.58,50.32,43.04,49.26,52.99,36.77,34.89,47.13,32.95,34.4,32.41,19.35,14.65,19.92,14.18,12.98,20.77,19.27,19.74,24.3,36.62,21.92,21.16
Atu1697,19.74,25.19,24.54,29.14,36.92,27.74,34.76,31.69,36.6,33.89,38.02,36.25,22.44,21.81,25.6,27.85,21.97,23.05,30.54,23.23,20.89,22.63,22.28,19.27,38.6,21.16,27.06
Atu1698,24.19,23.01,29.7,35.71,46.8,46.47,37.34,40.4,39.44,38.62,43.09,30.79,28.69,27.39,27.47,13.9,8.28,13.24,10.34,10.35,8.6,12.34,10.46,13.44,27.59,12.88,13.0
Atu1699,14.22,12.68,14.36,26.17,30.25,30.25,27.66,30.04,27.25,26.61,31.18,23.25,22.55,24.97,24.83,12.01,7.45,14.16,7.35,3.29,10.95,10.6,9.72,14.94,17.14,9.04,5.96
Atu1700,422.82,417.31,419.76,442.67,579.83,441.62,336.97,484.41,455.96,496.63,417.8,476.88,462.48,374.39,424.18,166.69,70.62,200.66,184.42,238.88,266.85,253.9,276.84,273.55,532.21,221.19,347.26
Atu1701,119.27,103.89,105.53,134.8,96.28,116.19,130.62,102.5,139.53,136.44,115.15,117.05,87.63,102.56,134.75,97.27,79.13,103.77,120.09,116.77,134.72,114.85,134.51,110.25,112.6,139.09,130.95
Atu1702,165.72,179.29,174.34,155.31,134.98,147.27,137.84,136.85,144.05,137.06,138.15,137.95,122.61,131.55,147.04,21.57,15.78,33.61,12.7,15.88,15.57,23.73,33.96,16.73,68.24,40.1,33.02
Atu1703,346.98,368.96,384.69,268.05,255.07,263.04,293.29,252.86,273.16,240.94,258.86,249.75,253.45,273.29,256.41,40.0,26.93,66.78,27.07,32.04,37.12,37.6,56.84,36.46,100.72,63.36,84.77
Atu1704,187.63,179.1,177.97,166.55,142.39,168.37,177.4,158.56,179.8,156.94,164.4,149.91,148.2,152.61,162.77,40.36,35.31,60.36,26.92,25.37,18.0,39.64,52.89,45.5,53.34,43.18,41.44
Atu1705,430.37,414.94,436.12,340.93,311.13,349.23,383.26,342.84,358.87,300.65,297.55,305.73,296.64,378.47,356.78,100.15,96.25,122.27,90.89,82.03,68.33,147.02,191.95,159.0,101.18,97.27,103.58
Atu1706,673.06,639.45,661.59,441.63,499.7,487.68,466.48,548.76,560.75,536.09,570.83,474.25,454.2,483.87,661.59,380.45,466.48,488.33,373.83,236.24,295.02,484.3,570.2,492.22,502.35,433.0,481.34
Atu1707,31.46,20.49,28.07,38.51,28.48,28.25,28.29,39.99,45.53,34.39,44.36,37.42,33.21,34.49,42.26,64.09,91.13,68.37,170.37,69.76,68.92,120.96,102.1,116.15,40.96,65.37,46.97
Atu1708,31.25,41.26,38.65,39.51,34.3,38.86,40.86,44.96,50.98,47.46,50.31,42.19,42.06,41.33,46.24,33.92,23.09,32.69,23.72,22.71,20.45,30.54,39.51,29.16,37.5,34.3,30.5
Atu1709,66.54,64.39,71.23,82.7,121.6,83.34,69.3,106.76,99.21,103.99,91.02,87.54,89.6,77.42,85.6,29.66,27.93,39.08,25.49,27.7,29.93,45.94,39.59,43.84,37.48,33.26,29.82
Atu1710,239.68,254.84,258.73,321.07,431.84,340.16,285.62,354.23,332.37,355.87,325.71,325.88,318.43,274.28,272.64,305.36,289.46,299.44,437.9,365.16,332.85,475.86,468.41,477.31,463.58,302.69,327.08
Atu1711,349.32,341.02,366.16,178.91,154.54,173.73,196.07,172.75,196.09,167.37,165.66,167.69,149.99,176.81,199.03,19.94,25.38,40.76,23.28,26.11,21.89,27.46,42.78,31.49,47.28,34.68,33.34
Atu1712,75.88,71.53,81.94,68.25,63.27,64.38,76.96,68.17,74.25,74.35,74.41,75.92,69.14,56.35,61.51,48.24,36.24,48.61,33.42,33.31,36.93,43.72,52.62,45.41,62.82,43.82,58.43
Atu1713,441.99,408.08,411.79,218.01,178.99,209.07,270.25,273.97,267.58,304.28,367.57,292.07,258.76,214.32,215.52,474.46,715.34,476.89,939.86,620.26,487.67,847.78,775.18,902.43,338.91,525.92,496.72
Atu1714,150.73,122.44,130.4,123.98,107.49,115.8,130.8,138.09,138.19,146.79,127.35,139.26,125.57,98.66,137.06,46.18,37.18,54.49,30.49,24.29,39.37,53.41,59.58,51.29,113.03,51.51,60.81
Atu1715,128.81,110.95,124.99,112.48,109.09,105.29,104.36,94.14,112.08,98.6,101.7,100.52,111.65,112.66,143.82,29.12,32.89,35.23,19.87,23.95,27.09,27.75,45.78,30.85,35.46,37.8,36.54
Atu1716,164.85,144.57,161.92,164.26,177.52,150.73,124.14,158.88,182.33,189.1,134.49,158.15,189.01,151.76,221.35,61.53,41.95,69.47,52.17,43.3,77.71,59.9,63.65,51.57,119.57,108.08,94.04
Atu1717,77.5,65.48,71.53,835.63,997.43,868.47,558.71,570.14,610.94,350.05,356.33,331.54,667.15,648.04,729.71,1276.97,739.47,1215.66,690.06,909.45,1027.04,1018.18,973.73,987.94,3568.66,1369.95,1631.62
Atu1719,411.71,407.95,419.46,310.91,297.57,314.54,320.94,352.48,353.64,360.8,373.38,346.24,280.79,297.53,326.75,97.35,86.42,136.26,134.38,133.54,134.68,166.97,168.47,170.03,166.43,126.13,118.78
Atu1720,338.62,319.3,353.4,254.25,232.28,223.74,329.54,287.96,275.77,299.9,340.05,303.59,287.16,243.27,265.33,249.78,198.32,252.57,263.31,261.11,268.47,327.11,368.64,347.61,237.95,305.95,323.16
Atu1721,601.12,556.8,575.87,476.59,460.14,476.48,469.63,428.2,496.07,485.19,464.91,455.48,490.85,478.36,499.14,75.46,43.83,106.38,38.56,39.21,39.4,86.43,92.58,72.17,133.73,74.02,98.15
Atu1722,47.03,51.95,43.54,34.05,34.77,54.55,33.74,40.04,56.71,29.41,36.55,19.27,50.8,34.61,76.29,26.76,29.01,25.87,62.39,18.31,36.21,21.28,30.48,25.16,12.47,23.03,17.53
Atu1724,26.75,22.08,40.65,35.04,23.0,32.81,48.79,41.36,33.57,87.62,52.61,66.24,37.67,49.42,48.79,110.06,132.96,93.49,157.99,148.75,122.09,234.16,219.75,227.77,62.64,77.0,76.89
Atu1725,647.32,603.49,697.27,160.58,104.61,117.82,166.91,160.74,153.34,207.31,183.03,160.57,129.79,155.04,128.3,2093.54,2971.17,1748.47,5176.44,3230.53,2341.98,2862.67,2423.3,2753.34,619.15,1599.01,1317.87
Atu1726,0.0,1.83,0.71,0.87,0.0,1.08,3.94,2.62,3.72,2.04,2.4,2.27,2.26,2.41,5.4,12.15,6.28,6.82,6.2,2.0,4.15,7.4,11.65,7.15,5.2,6.1,7.37
Atu1727,4.82,4.21,0.81,7.98,3.55,5.6,12.06,11.05,8.54,3.13,3.67,9.11,3.9,5.53,17.99,1.47,3.37,4.7,4.98,1.53,3.18,1.7,0.84,5.05,1.0,3.89,0.77
Atu1728,202.19,196.65,202.71,250.32,238.4,218.51,232.82,248.79,270.84,252.16,271.25,266.23,223.82,186.23,233.48,196.53,100.37,203.7,66.06,112.83,143.94,172.87,146.74,170.41,286.05,166.8,212.58
Atu1729,113.47,91.5,101.74,100.89,84.02,93.14,160.66,132.66,122.48,178.63,174.86,175.17,114.14,112.32,118.45,138.76,98.37,135.07,138.04,185.45,191.22,188.82,178.2,192.72,220.66,164.64,170.01
Atu1730,706.92,555.75,572.11,892.93,521.32,786.19,1813.91,1285.91,1106.3,1419.37,1443.21,1552.75,1317.12,986.68,1294.47,644.68,569.32,689.38,982.67,1558.12,1818.55,929.77,921.73,872.79,974.19,730.66,804.69
Atu1731,426.37,388.84,381.21,387.87,291.38,369.47,465.73,417.43,439.2,360.54,327.57,364.79,283.21,473.51,438.22,66.75,49.74,102.17,44.99,89.95,84.54,54.32,61.0,64.41,74.59,60.65,42.86
Atu1733,751.87,813.31,759.04,710.49,643.57,683.51,793.84,815.24,692.48,784.58,839.71,791.06,708.75,659.26,576.29,249.25,354.8,326.42,688.05,710.04,569.98,677.95,795.45,622.39,605.83,685.83,617.11
Atu1734,115.75,103.89,105.99,175.3,130.35,179.39,153.15,193.32,171.47,148.77,140.12,149.52,151.82,134.15,156.12,81.74,126.65,94.62,112.07,115.15,87.55,120.19,149.06,134.93,123.21,139.55,121.21
Atu1735,20.17,11.9,15.06,23.82,12.05,12.95,15.1,18.98,30.17,18.71,17.68,18.57,18.37,18.46,25.35,14.15,9.63,11.48,11.52,20.66,9.81,26.19,21.28,19.47,11.51,18.59,17.21
Atu1736,393.19,349.07,352.24,822.06,699.63,772.68,945.89,948.87,959.34,829.19,840.79,879.2,772.7,533.23,626.86,660.17,741.46,751.7,648.32,616.63,567.26,989.83,1082.96,1017.34,1603.07,920.01,874.95
